frame_idx,track_id,class_name,x1,y1,x2,y2,cx,cy,vx,vy,confidence,age_frames
80,2,car,701.79,238.01,786.8,351.91,744.3,294.96,-1.3803,-3.4226,0.0,28
81,1,car,638.45,251.14,707.78,349.3,673.12,300.22,-1.1368,-3.1955,0.0,37
81,2,car,700.54,234.75,785.3,348.33,742.92,291.54,-1.3803,-3.4226,0.0,29
82,1,car,637.43,248.11,706.53,345.94,671.98,297.02,-1.1368,-3.1955,0.0,38
82,2,car,699.28,231.5,783.79,344.74,741.54,288.12,-1.3803,-3.4226,0.0,30
83,1,car,636.4,245.07,705.28,342.58,670.84,293.83,-1.1368,-3.1955,0.0,39
83,2,car,698.02,228.24,782.29,341.15,740.16,284.7,-1.3803,-3.4226,0.0,31
84,1,car,635.38,242.04,704.03,339.23,669.71,290.63,-1.1368,-3.1955,0.0,40
84,2,car,696.76,224.98,780.79,337.57,738.78,281.27,-1.3803,-3.4226,0.0,32
85,1,car,634.36,239.0,702.78,335.87,668.57,287.44,-1.1368,-3.1955,0.0,41
85,2,car,695.5,221.72,779.29,333.98,737.39,277.85,-1.3803,-3.4226,0.0,33
86,1,car,633.34,235.97,701.53,332.51,667.43,284.24,-1.1368,-3.1955,0.0,42
86,2,car,694.24,218.46,777.78,330.4,736.01,274.43,-1.3803,-3.4226,0.0,34
87,1,car,632.31,232.93,700.28,329.16,666.3,281.04,-1.1368,-3.1955,0.0,43
87,2,car,692.99,215.2,776.28,326.81,734.63,271.0,-1.3803,-3.4226,0.0,35
88,1,car,631.29,229.9,699.03,325.8,665.16,277.85,-1.1368,-3.1955,0.0,44
88,2,car,691.73,211.94,774.78,323.22,733.25,267.58,-1.3803,-3.4226,0.0,36
89,1,car,630.27,226.86,697.78,322.44,664.02,274.65,-1.1368,-3.1955,0.0,45
89,2,car,690.47,208.68,773.28,319.64,731.87,264.16,-1.3803,-3.4226,0.0,37
90,1,car,629.24,223.83,696.53,319.09,662.89,271.46,-1.1368,-3.1955,0.0,46
90,2,car,689.21,205.42,771.78,316.05,730.49,260.74,-1.3803,-3.4226,0.0,38
91,1,car,626.76,217.05,694.01,312.54,660.39,264.8,-2.5004,-6.6633,0.505,47
